id,name,ingredients,instructions
66,Recipe 66,"milk, olive oil, onion, carrot, butter, mushroom, beef",Combine ingredients and cook to taste.
67,Recipe 67,"butter, salt, rice",Combine ingredients and cook to taste.
68,Recipe 68,"pasta, flour, onion, beef",Combine ingredients and cook to taste.
69,Recipe 69,"milk, flour, tomato, pasta",Combine ingredients and cook to taste.
70,Recipe 70,"sugar, rice, cheese, olive oil, beef",Combine ingredients and cook to taste.
71,Recipe 71,"eggs, tomato, basil, chicken, butter, pasta, garlic",Combine ingredients and cook to taste.
72,Recipe 72,"eggs, cheese, carrot, tomato, milk, mushroom",Combine ingredients and cook to taste.
73,Recipe 73,"carrot, sugar, rice",Combine ingredients and cook to taste.
74,Recipe 74,"cheese, tomato, lettuce, beef, flour, olive oil",Combine ingredients and cook to taste.
75,Recipe 75,"salt, sugar, carrot, eggs",Combine ingredients and cook to taste.
76,Recipe 76,"olive oil, sugar, onion",Combine ingredients and cook to taste.
77,Recipe 77,"lettuce, beef, eggs, pasta, sugar, mushroom",Combine ingredients and cook to taste.
78,Recipe 78,"flour, lettuce, tomato",Combine ingredients and cook to taste.
79,Recipe 79,"milk, pasta, chicken, eggs",Combine ingredients and cook to taste.
80,Recipe 80,"lettuce, rice, basil, pasta, butter, garlic, pepper",Combine ingredients and cook to taste.
81,Recipe 81,"lettuce, flour, garlic, butter",Combine ingredients and cook to taste.
82,Recipe 82,"cheese, rice, milk, flour, olive oil",Combine ingredients and cook to taste.
83,Recipe 83,"pasta, garlic, tomato, salt",Combine ingredients and cook to taste.
84,Recipe 84,"garlic, sugar, lettuce, milk, flour, beef, salt",Combine ingredients and cook to taste.
85,Recipe 85,"garlic, chicken, rice",Combine ingredients and cook to taste.
86,Recipe 86,"milk, lettuce, basil, cheese, sugar, rice, mushroom",Combine ingredients and cook to taste.
87,Recipe 87,"salt, rice, chicken, flour, garlic, cheese",Combine ingredients and cook to taste.
88,Recipe 88,"cheese, mushroom, pepper, lettuce",Combine ingredients and cook to taste.
89,Recipe 89,"olive oil, eggs, butter",Combine ingredients and cook to taste.
90,Recipe 90,"carrot, pasta, milk, chicken, garlic",Combine ingredients and cook to taste.
91,Recipe 91,"onion, butter, lettuce, mushroom, garlic",Combine ingredients and cook to taste.
92,Recipe 92,"garlic, tomato, milk",Combine ingredients and cook to taste.
93,Recipe 93,"tomato, beef, pasta, milk, cheese",Combine ingredients and cook to taste.
94,Recipe 94,"beef, mushroom, tomato, chicken",Combine ingredients and cook to taste.
95,Recipe 95,"cheese, olive oil, garlic, eggs, milk, rice",Combine ingredients and cook to taste.
96,Recipe 96,"carrot, garlic, lettuce, tomato",Combine ingredients and cook to taste.
97,Recipe 97,"pepper, butter, milk, rice, salt",Combine ingredients and cook to taste.
98,Recipe 98,"chicken, lettuce, salt, carrot, tomato, flour, olive oil",Combine ingredients and cook to taste.
99,Recipe 99,"rice, lettuce, sugar, eggs, mushroom, olive oil",Combine ingredients and cook to taste.
100,Recipe 100,"chicken, pepper, garlic",Combine ingredients and cook to taste.
